id,preferred_name,protein_size,annotation
9685.ENSFCAP00000006848,HSPA12B,680,Heat shock protein family A (Hsp70) member 12B.
9685.ENSFCAP00000006851,CTSF,459,Cathepsin F; Belongs to the peptidase C1 family.
9685.ENSFCAP00000006852,WDFY4,3184,WDFY family member 4.
9685.ENSFCAP00000006855,RBM14,669,RNA binding motif protein 14.
9685.ENSFCAP00000006859,FAM170B,332,Family with sequence similarity 170 member B.
9685.ENSFCAP00000006860,SPTBN2,2418,Spectrin beta chain; Belongs to the spectrin family.
9685.ENSFCAP00000006865,LRFN4,636,Leucine rich repeat and fibronectin type III domain containing 4.
9685.ENSFCAP00000006867,SYT12,507,Synaptotagmin 12.
9685.ENSFCAP00000006880,THYN1,229,Thymocyte nuclear protein 1.
9685.ENSFCAP00000006882,IFIT5,482,Uncharacterized protein.
9685.ENSFCAP00000006884,VASP,383,Vasodilator stimulated phosphoprotein; Ena/VASP proteins are actin-associated proteins involved in a range of processes dependent on cytoskeleton remodeling and cell polarity such as axon guidance, lamellipodial and filopodial dynamics, platelet activation and cell migration. Belongs to the Ena/VASP family.
9685.ENSFCAP00000006886,NCCRP1,262,Non-specific cytotoxic cell receptor protein 1 homolog (zebrafish).
9685.ENSFCAP00000006894,GPR19,415,G protein-coupled receptor 19.
9685.ENSFCAP00000006898,VPS50,963,VPS50 subunit of EARP/GARPII complex.
9685.ENSFCAP00000006899,CALCR,483,Calcitonin receptor; Belongs to the G-protein coupled receptor 2 family.
9685.ENSFCAP00000006900,LIMCH1,1529,LIM and calponin homology domains 1.
9685.ENSFCAP00000006902,AQP11,272,Aquaporin; Aquaporins facilitate the transport of water and small neutral solutes across cell membranes.
9685.ENSFCAP00000006904,RSF1,1434,Remodeling and spacing factor 1.
9685.ENSFCAP00000006913,USP35,1004,Ubiquitin specific peptidase 35; Belongs to the peptidase C19 family.
9685.ENSFCAP00000006914,GAB2,678,GRB2 associated binding protein 2.
9685.ENSFCAP00000006915,JRKL,527,JRK like.
9685.ENSFCAP00000006917,SLC40A1,576,Solute carrier family 40 protein; May be involved in iron transport and iron homeostasis. Belongs to the ferroportin (FP) (TC 2.A.100) family. SLC40A subfamily.
9685.ENSFCAP00000006920,GOLGA5,731,Golgin A5.
9685.ENSFCAP00000006930,SORCS3,1222,Sortilin related VPS10 domain containing receptor 3.
9685.ENSFCAP00000006932,LOC101097186,315,G_PROTEIN_RECEP_F1_2 domain-containing protein.
9685.ENSFCAP00000006934,CRYBA2,197,Crystallin beta A2; Belongs to the beta/gamma-crystallin family.
9685.ENSFCAP00000006936,ETS2,469,Protein C-ets-2; Transcription factor; Belongs to the ETS family.
9685.ENSFCAP00000006938,CFAP65,735,Cilia and flagella associated protein 65.
9685.ENSFCAP00000006948,SLC1A6,564,Amino acid transporter.
9685.ENSFCAP00000006950,GALNT5,939,Polypeptide N-acetylgalactosaminyltransferase.
9685.ENSFCAP00000006951,ALLC,444,Allantoicase.
9685.ENSFCAP00000006952,NUP210,1887,Nucleoporin 210.
9685.ENSFCAP00000006954,FBLN2,1223,Fibulin 2.
9685.ENSFCAP00000006955,TMEM221,291,Uncharacterized protein.
9685.ENSFCAP00000006957,NIBAN3,631,Niban apoptosis regulator 3.
9685.ENSFCAP00000006958,COLGALT1,623,Collagen beta(1-O)galactosyltransferase 1.
9685.ENSFCAP00000006963,JAK3,1232,Tyrosine-protein kinase.
9685.ENSFCAP00000006965,SLC5A5,642,Solute carrier family 5 member 5; Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family.
9685.ENSFCAP00000006969,MAST3,1302,Microtubule associated serine/threonine kinase 3.
9685.ENSFCAP00000006980,ACP3,418,Acid phosphatase, prostate; Belongs to the histidine acid phosphatase family.
9685.ENSFCAP00000006983,MRPL16,304,Mitochondrial ribosomal protein L16; Belongs to the universal ribosomal protein uL16 family.
9685.ENSFCAP00000006985,MEDAG,306,Mesenteric estrogen dependent adipogenesis.
9685.ENSFCAP00000006986,CERS3,387,Ceramide synthase 3.
9685.ENSFCAP00000006987,CBLIF,417,Cobalamin binding intrinsic factor.
9685.ENSFCAP00000006989,HSPH1,859,Heat shock protein family H (Hsp110) member 1.
9685.ENSFCAP00000006990,TCN1,433,Transcobalamin 1.
9685.ENSFCAP00000006992,ZNF282,823,Zinc finger protein 282.
9685.ENSFCAP00000006995,ZNF777,872,Zinc finger protein 777.
9685.ENSFCAP00000006996,ZNF746,645,Zinc finger protein 746.
9685.ENSFCAP00000006997,MED13L,2177,Mediator of RNA polymerase II transcription subunit 13; Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.
9685.ENSFCAP00000006998,NFKB1,989,Nuclear factor kappa B subunit 1.
9685.ENSFCAP00000006999,MANBA,878,Mannosidase beta.
9685.ENSFCAP00000007001,DUOX2,1547,Dual oxidase 2.
9685.ENSFCAP00000007004,DUOX1,1551,Dual oxidase 1.
9685.ENSFCAP00000007005,SHF,489,Src homology 2 domain containing F.
9685.ENSFCAP00000007008,SQOR,450,Pyr_redox_2 domain-containing protein.
9685.ENSFCAP00000007009,PDPN,163,Podoplanin.
9685.ENSFCAP00000007010,LOC111557128,446,Uncharacterized protein.
9685.ENSFCAP00000007012,TEPSIN,584,TEPSIN adaptor related protein complex 4 accessory protein.
9685.ENSFCAP00000007014,BAZ2B,2169,Bromodomain adjacent to zinc finger domain 2B.
9685.ENSFCAP00000007020,SIGIRR,410,Single Ig and TIR domain containing.
9685.ENSFCAP00000007022,PTDSS2,486,Phosphatidylserine synthase 2.
9685.ENSFCAP00000007034,GKN1,184,Gastrokine 1.
9685.ENSFCAP00000007035,ANTXR1,564,ANTXR cell adhesion molecule 1.
9685.ENSFCAP00000007038,UBE2V1,170,Ubiquitin conjugating enzyme E2 V1.
9685.ENSFCAP00000007041,ATG12,140,Ubiquitin-like protein ATG12; Ubiquitin-like protein involved in autophagic vesicle formation; Belongs to the ATG12 family.
9685.ENSFCAP00000007044,SDF4,362,Stromal cell derived factor 4.
9685.ENSFCAP00000007046,GINS2,185,DNA replication complex GINS protein PSF2; Belongs to the GINS2/PSF2 family.
9685.ENSFCAP00000007050,SCNN1D,590,Uncharacterized protein; Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family.
9685.ENSFCAP00000007052,ACAP3,833,ArfGAP with coiled-coil, ankyrin repeat and PH domains 3.
9685.ENSFCAP00000007053,PUSL1,300,tRNA pseudouridine synthase.
9685.ENSFCAP00000007055,EEPD1,569,Endonuclease/exonuclease/phosphatase family domain containing 1.
9685.ENSFCAP00000007058,POC1B,478,POC1 centriolar protein B.
9685.ENSFCAP00000007059,TAS1R3,865,Taste receptor type 1 member 3; Putative taste receptor. TAS1R1/TAS1R3 responds to the umami taste stimulus (the taste of monosodium glutamate) (By similarity).
9685.ENSFCAP00000007061,ATP2B1,1220,Calcium-transporting ATPase; This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium.
9685.ENSFCAP00000007062,DVL1,700,Dishevelled segment polarity protein 1.
9685.ENSFCAP00000007063,AOAH,575,Acyloxyacyl hydrolase.
9685.ENSFCAP00000007064,UBXN10,282,UBX domain protein 10.
9685.ENSFCAP00000007065,MICALL2,902,MICAL like 2.
9685.ENSFCAP00000007069,APOM,188,Apolipoprotein M.
9685.ENSFCAP00000007070,KIAA1143,215,KIAA1143.
9685.ENSFCAP00000007075,CSNK2B,235,Casein kinase II subunit beta; Plays a complex role in regulating the basal catalytic activity of the alpha subunit; Belongs to the casein kinase 2 subunit beta family.
9685.ENSFCAP00000007076,INTS1,2186,Integrator complex subunit 1.
9685.ENSFCAP00000007077,LY6G6F,302,Ig-like domain-containing protein.
9685.ENSFCAP00000007078,KIF15,1385,Kinesin family member 15; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
9685.ENSFCAP00000007079,TMEM42,207,Transmembrane protein 42.
9685.ENSFCAP00000007083,SLC51A,364,Solute carrier family 51 alpha subunit.
9685.ENSFCAP00000007085,TM4SF19,209,Uncharacterized protein.
9685.ENSFCAP00000007087,UBXN7,519,UBX domain-containing protein.
9685.ENSFCAP00000007092,CA2H3orf20,899,Chromosome A2 C3orf20 homolog.
9685.ENSFCAP00000007094,ABCB10,736,ATP binding cassette subfamily B member 10.
9685.ENSFCAP00000007095,TAF5L,589,TATA-box binding protein associated factor 5 like.
9685.ENSFCAP00000007099,TLR10,809,Toll like receptor 10; Belongs to the Toll-like receptor family.
9685.ENSFCAP00000007103,AVL9,649,AVL9 cell migration associated.
9685.ENSFCAP00000007112,ABCF1,887,ATP binding cassette subfamily F member 1.
9685.ENSFCAP00000007115,E4F1,786,E4F transcription factor 1.
9685.ENSFCAP00000007116,PPP1R10,955,Protein phosphatase 1 regulatory subunit 10.
9685.ENSFCAP00000007117,ECI1,302,Enoyl-CoA delta isomerase 1; Belongs to the enoyl-CoA hydratase/isomerase family.
9685.ENSFCAP00000007118,MRPS18B,334,Mitochondrial ribosomal protein S18B.
9685.ENSFCAP00000007121,ATAT1,421,Alpha-tubulin N-acetyltransferase 1; Specifically acetylates 'Lys-40' in alpha-tubulin on the lumenal side of microtubules. Promotes microtubule destabilization and accelerates microtubule dynamics; this activity may be independent of acetylation activity. Acetylates alpha-tubulin with a slow enzymatic rate, due to a catalytic site that is not optimized for acetyl transfer. Enters the microtubule through each end and diffuses quickly throughout the lumen of microtubules. Acetylates only long/old microtubules because of its slow acetylation rate since it does not have time to act on dyn [...] 
9685.ENSFCAP00000007122,C6orf136,314,Chromosome 6 open reading frame 136.
9685.ENSFCAP00000007123,DHX16,1044,DEAH-box helicase 16.
9685.ENSFCAP00000007126,NRM,262,Nurim.
9685.ENSFCAP00000007127,MDC1,2011,Mediator of DNA damage checkpoint 1.
9685.ENSFCAP00000007128,M3W868_FELCA,450,Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.
9685.ENSFCAP00000007129,FLOT1,427,Flotillin; Belongs to the band 7/mec-2 family. Flotillin subfamily.
9685.ENSFCAP00000007132,KCNMA1,1288,Potassium calcium-activated channel subfamily M alpha 1.
9685.ENSFCAP00000007133,SCRG1,98,Stimulator of chondrogenesis 1.
9685.ENSFCAP00000007135,HTR1B,389,5-hydroxytryptamine receptor 1B; G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various alkaloids and psychoactive substances. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity. Arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathways. Regulates the release of 5-hydroxytryptamine, dopami [...] 
9685.ENSFCAP00000007138,OCLN,521,Occludin; May play a role in the formation and regulation of the tight junction (TJ) paracellular permeability barrier. Belongs to the ELL/occludin family.
9685.ENSFCAP00000007141,CCDC181,508,Coiled-coil domain containing 181.
9685.ENSFCAP00000007143,EPHA4,986,EPH receptor A4.
9685.ENSFCAP00000007147,CCKAR,429,Cholecystokinin A receptor; Belongs to the G-protein coupled receptor 1 family.
9685.ENSFCAP00000007148,MROH1,1640,Maestro heat like repeat family member 1.
9685.ENSFCAP00000007153,DGAT1,493,O-acyltransferase.
9685.ENSFCAP00000007155,SLC52A1,449,Uncharacterized protein.
9685.ENSFCAP00000007156,ADCK5,580,AarF domain containing kinase 5.
9685.ENSFCAP00000007159,CA3H20orf96,361,Chromosome A3 C20orf96 homolog.
9685.ENSFCAP00000007162,SULT1B1,296,Sulfotransferase; Belongs to the sulfotransferase 1 family.
9685.ENSFCAP00000007170,SPRY2,315,Sprouty RTK signaling antagonist 2.
9685.ENSFCAP00000007172,RAB2B,216,Uncharacterized protein.
9685.ENSFCAP00000007180,SYT16,645,Synaptotagmin 16.
9685.ENSFCAP00000007182,TARBP2,366,RISC-loading complex subunit TARBP2; Required for formation of the RNA induced silencing complex (RISC). Component of the RISC loading complex (RLC), also known as the micro-RNA (miRNA) loading complex (miRLC), which is composed of DICER1, AGO2 and TARBP2. Within the RLC/miRLC, DICER1 and TARBP2 are required to process precursor miRNAs (pre-miRNAs) to mature miRNAs and then load them onto AGO2. AGO2 bound to the mature miRNA constitutes the minimal RISC and may subsequently dissociate from DICER1 and TARBP2. May also play a role in the production of short interfering RNAs (siRNAs) from [...] 
9685.ENSFCAP00000007183,ADGRG3,626,Adhesion G protein-coupled receptor G3; Belongs to the G-protein coupled receptor 2 family.
9685.ENSFCAP00000007186,DRC7,872,Dynein regulatory complex subunit 7.
9685.ENSFCAP00000007190,EFHC2,748,EF-hand domain containing 2.
9685.ENSFCAP00000007194,UQCRC2,453,Ubiquinol-cytochrome c reductase core protein 2; Belongs to the peptidase M16 family.
9685.ENSFCAP00000007195,PDZD9,264,PDZ domain containing 9.
9685.ENSFCAP00000007199,TRIML1,474,Tripartite motif family like 1.
9685.ENSFCAP00000007202,ECHDC1,278,Ethylmalonyl-CoA decarboxylase 1; Belongs to the enoyl-CoA hydratase/isomerase family.
9685.ENSFCAP00000007203,CHD1L,900,Chromodomain helicase DNA binding protein 1 like.
9685.ENSFCAP00000007206,MAPRE1,268,Microtubule associated protein RP/EB family member 1.
9685.ENSFCAP00000007207,C6orf58,328,Chromosome 6 open reading frame 58.
9685.ENSFCAP00000007209,LOC101089387,456,Uncharacterized protein; Belongs to the ligand-gated ion channel (TC 1.A.9) family.
9685.ENSFCAP00000007211,EIF2B5,729,Eukaryotic translation initiation factor 2B subunit epsilon.
9685.ENSFCAP00000007212,DVL3,718,Dishevelled segment polarity protein 3.
9685.ENSFCAP00000007214,ABCF3,709,ATP binding cassette subfamily F member 3.
9685.ENSFCAP00000007215,VWA5B2,1246,Von Willebrand factor A domain containing 5B2.
9685.ENSFCAP00000007216,CD200,195,CD200 molecule.
9685.ENSFCAP00000007217,PSMD2,908,26S proteasome non-ATPase regulatory subunit 2; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair; Belongs to the proteasome subunit S2 family.
9685.ENSFCAP00000007218,EIF4G1,1604,Eukaryotic translation initiation factor 4 gamma 1.
9685.ENSFCAP00000007219,FAM131A,363,Family with sequence similarity 131 member A.
9685.ENSFCAP00000007220,CLCN2,903,Chloride channel protein.
9685.ENSFCAP00000007221,POLR2H,150,DNA-directed RNA polymerases I, II, and III subunit RPABC3; DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common component of RNA polymerases I, II and III which synthesize ribosomal RNA precursors, mRNA precursors and many functional non- coding RNAs, and small RNAs, such as 5S rRNA and tRNAs, respectively.
9685.ENSFCAP00000007223,CHRD,954,Chordin; Dorsalizing factor. Key developmental protein that dorsalizes early vertebrate embryonic tissues by binding to ventralizing TGF-beta family bone morphogenetic proteins (BMPs) and sequestering them in latent complexes.
9685.ENSFCAP00000007228,TSPAN17,262,Tetraspanin.
9685.ENSFCAP00000007229,SCAMP1,338,Secretory carrier-associated membrane protein.
9685.ENSFCAP00000007232,UFL1,792,UFM1 specific ligase 1.
9685.ENSFCAP00000007233,DOK5,198,Docking protein 5.
9685.ENSFCAP00000007234,UXS1,490,UDP-glucuronate decarboxylase 1.
9685.ENSFCAP00000007235,BMP3,475,Bone morphogenetic protein 3; Belongs to the TGF-beta family.
9685.ENSFCAP00000007236,STIM1,799,Stromal interaction molecule 1.
9685.ENSFCAP00000007237,PRKG2,762,cGMP-dependent protein kinase.
9685.ENSFCAP00000007238,RRM1,792,Ribonucleoside-diphosphate reductase; Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides.
9685.ENSFCAP00000007239,MTHFD1,935,Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1.
9685.ENSFCAP00000007243,HSPA2,639,Heat shock protein family A (Hsp70) member 2; Belongs to the heat shock protein 70 family.
9685.ENSFCAP00000007246,CTSD,408,Peptidase A1 domain-containing protein; Belongs to the peptidase A1 family.
9685.ENSFCAP00000007248,CWC15,254,CWC15 spliceosome associated protein homolog.
9685.ENSFCAP00000007251,RPIA,311,Ribose 5-phosphate isomerase A.
9685.ENSFCAP00000007253,MADCAM1,380,Mucosal vascular addressin cell adhesion molecule 1.
9685.ENSFCAP00000007255,CDC34,236,Cell division cycle 34; Belongs to the ubiquitin-conjugating enzyme family.
9685.ENSFCAP00000007259,PRSS57,283,Serine protease 57; Belongs to the peptidase S1 family.
9685.ENSFCAP00000007260,PDHA2,391,Pyruvate dehydrogenase E1 component subunit alpha; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2).
9685.ENSFCAP00000007263,CD53,215,Tetraspanin.
9685.ENSFCAP00000007265,SLC35D3,422,Solute carrier family 35 member D3.
9685.ENSFCAP00000007266,CCDC32,189,Coiled-coil domain containing 32.
9685.ENSFCAP00000007268,RAP1GAP2,773,RAP1 GTPase activating protein 2.
9685.ENSFCAP00000007271,CPSF3,684,Cleavage and polyadenylation specific factor 3.
9685.ENSFCAP00000007272,ADAM17,828,ADAM metallopeptidase domain 17.
9685.ENSFCAP00000007275,GRHL1,618,Grainyhead like transcription factor 1.
9685.ENSFCAP00000007276,AHSP,92,Alpha hemoglobin stabilizing protein.
9685.ENSFCAP00000007280,KYAT3,455,Kynurenine aminotransferase 3.
9685.ENSFCAP00000007283,MAP3K6,1307,Mitogen-activated protein kinase kinase kinase 6.
9685.ENSFCAP00000007285,WASF2,498,WASP family member 2.
9685.ENSFCAP00000007286,AHDC1,1599,AT-hook DNA binding motif containing 1.
9685.ENSFCAP00000007287,FGR,527,Tyrosine-protein kinase.
9685.ENSFCAP00000007291,MAP11,580,Microtubule associated protein 11.
9685.ENSFCAP00000007293,KCND2,630,Potassium voltage-gated channel subfamily D member 2; Belongs to the potassium channel family.
9685.ENSFCAP00000007294,CASP14,318,Caspase 14; Belongs to the peptidase C14A family.
9685.ENSFCAP00000007301,NKAIN3,196,Sodium/potassium transporting ATPase interacting 3.
9685.ENSFCAP00000007303,SLC24A4,622,Solute carrier family 24 member 4; Belongs to the Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family.
9685.ENSFCAP00000007305,LGMN,433,Legumain.
9685.ENSFCAP00000007313,LNX1,732,Ligand of numb-protein X 1.
9685.ENSFCAP00000007314,WDR44,912,WD repeat domain 44.
9685.ENSFCAP00000007323,CELF3,536,CUGBP Elav-like family member 3.
9685.ENSFCAP00000007324,ARHGAP27,861,Rho GTPase activating protein 27.
9685.ENSFCAP00000007330,DYNC1LI1,524,Dynein light intermediate chain; Acts as one of several non-catalytic accessory components of the cytoplasmic dynein 1 complex that are thought to be involved in linking dynein to cargos and to adapter proteins that regulate dynein function. Cytoplasmic dynein 1 acts as a motor for the intracellular retrograde motility of vesicles and organelles along microtubules. May play a role in binding dynein to membranous organelles or chromosomes.
9685.ENSFCAP00000007337,TRPV1,841,Transient receptor potential cation channel subfamily V member 1; Belongs to the transient receptor (TC 1.A.4) family.
9685.ENSFCAP00000007338,SHPK,478,FGGY_N domain-containing protein.
9685.ENSFCAP00000007339,CTNS,399,Cystinosin, lysosomal cystine transporter.
9685.ENSFCAP00000007340,EMC6,110,ER membrane protein complex subunit 6.
9685.ENSFCAP00000007343,ITGAE,1145,Integrin subunit alpha E; Belongs to the integrin alpha chain family.
9685.ENSFCAP00000007347,P2RX1,399,P2X purinoceptor; Receptor for ATP that acts as a ligand-gated ion channel.
9685.ENSFCAP00000007349,AIRE,549,Autoimmune regulator.
9685.ENSFCAP00000007352,ATP6V0D2,351,V-type proton ATPase subunit; Subunit of the integral membrane V0 complex of vacuolar ATPase. Vacuolar ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells, thus providing most of the energy required for transport processes in the vacuolar system. Belongs to the V-ATPase V0D/AC39 subunit family.
9685.ENSFCAP00000007353,HOXA1,335,Homeobox A1.
9685.ENSFCAP00000007354,HOXA2,376,Homeobox A2.
9685.ENSFCAP00000007361,KCNE3,99,Potassium voltage-gated channel subfamily E regulatory subunit 3.
9685.ENSFCAP00000007367,CKB,480,Creatine kinase B; Belongs to the ATP:guanido phosphotransferase family.
9685.ENSFCAP00000007368,RPH3AL,343,Rabphilin 3A like (without C2 domains).
9685.ENSFCAP00000007370,ADRB2,418,Beta-2 adrenergic receptor; Beta-adrenergic receptors mediate the catecholamine-induced activation of adenylate cyclase through the action of G proteins. The beta-2-adrenergic receptor binds epinephrine with an approximately 30- fold greater affinity than it does norepinephrine (By similarity). Belongs to the G-protein coupled receptor 1 family. Adrenergic receptor subfamily. ADRB2 sub-subfamily.
9685.ENSFCAP00000007371,SH3TC2,1290,SH3 domain and tetratricopeptide repeats 2.
9685.ENSFCAP00000007376,CDH12,794,Cadherin 12; Cadherins are calcium-dependent cell adhesion proteins.
9685.ENSFCAP00000007378,SNCG,127,Gamma-synuclein; Belongs to the synuclein family.
9685.ENSFCAP00000007379,ADIRF,76,Adipogenesis regulatory factor.
9685.ENSFCAP00000007384,GLUD1,558,ELFV_dehydrog domain-containing protein; Belongs to the Glu/Leu/Phe/Val dehydrogenases family.
9685.ENSFCAP00000007386,IZUMO2,221,IZUMO family member 2.
9685.ENSFCAP00000007387,XRN2,950,5'-3' exoribonuclease; Possesses 5'->3' exoribonuclease activity. May promote termination of transcription by RNA polymerase II.
9685.ENSFCAP00000007389,PEPD,493,Peptidase D.
9685.ENSFCAP00000007391,KCTD15,283,Potassium channel tetramerization domain containing 15.
9685.ENSFCAP00000007392,MKRN2,416,Makorin ring finger protein 2.
9685.ENSFCAP00000007396,NARS2,477,Asparaginyl-tRNA synthetase 2, mitochondrial.
9685.ENSFCAP00000007400,TMEM181,521,Transmembrane protein 181.
9685.ENSFCAP00000007401,DYNLT1,113,Dynein light chain Tctex-type 1.
9685.ENSFCAP00000007402,SYTL3,611,Synaptotagmin like 3.
9685.ENSFCAP00000007407,LIM2,173,Lens fiber membrane intrinsic protein; Present in the thicker 16-17 nm junctions of mammalian lens fiber cells, where it may contribute to cell junctional organization. Acts as a receptor for calmodulin. May play an important role in both lens development and cataractogenesis; Belongs to the PMP-22/EMP/MP20 family.
9685.ENSFCAP00000007408,VEGFC,419,Vascular endothelial growth factor C; Belongs to the PDGF/VEGF growth factor family.
9685.ENSFCAP00000007413,KCTD16,428,Potassium channel tetramerization domain containing 16.
9685.ENSFCAP00000007414,CYP7A1,501,Cholesterol 7-alpha-monooxygenase; Belongs to the cytochrome P450 family.
9685.ENSFCAP00000007417,HS2ST1,396,Heparan sulfate 2-O-sulfotransferase 1.
9685.ENSFCAP00000007419,YDJC,318,YdjC chitooligosaccharide deacetylase homolog.
9685.ENSFCAP00000007422,SDF2L1,262,Stromal cell derived factor 2 like 1.
9685.ENSFCAP00000007423,NSMAF,920,Neutral sphingomyelinase activation associated factor.
9685.ENSFCAP00000007424,SLC24A3,644,Solute carrier family 24 member 3; Belongs to the Ca(2+):cation antiporter (CaCA) (TC 2.A.19) family.
9685.ENSFCAP00000007427,REL,583,REL proto-oncogene, NF-kB subunit.
9685.ENSFCAP00000007428,PUS10,532,Pseudouridine synthase 10.
9685.ENSFCAP00000007429,LOC101083503,317,Olfactory receptor.
9685.ENSFCAP00000007430,CE1H17orf53,595,Chromosome E1 C17orf53 homolog.
9685.ENSFCAP00000007432,CLEC5A,184,C-type lectin domain containing 5A.
9685.ENSFCAP00000007433,ASB16,453,Ankyrin repeat and SOCS box containing 16.
9685.ENSFCAP00000007435,SNAPC1,375,Small nuclear RNA activating complex polypeptide 1.
9685.ENSFCAP00000007439,TRIM25,608,Tripartite motif containing 25.
9685.ENSFCAP00000007440,PLEKHG4B,1524,Pleckstrin homology and RhoGEF domain containing G4B.
9685.ENSFCAP00000007442,VMO1,201,Vitelline membrane outer layer 1 homolog.
9685.ENSFCAP00000007444,LRRC14B,510,Leucine rich repeat containing 14B.
9685.ENSFCAP00000007449,PLD2,984,Phospholipase.
9685.ENSFCAP00000007455,NRIP1,1155,Nuclear receptor interacting protein 1.
9685.ENSFCAP00000007457,FKTN,495,Fukutin.
9685.ENSFCAP00000007460,TMEM252,164,Transmembrane protein 252.
9685.ENSFCAP00000007462,ACVR1,509,Serine/threonine-protein kinase receptor; Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily.
9685.ENSFCAP00000007464,CFAP206,622,Uncharacterized protein.
9685.ENSFCAP00000007465,ORC3,712,Origin recognition complex subunit 3.
9685.ENSFCAP00000007469,GPD1L,351,Glycerol-3-phosphate dehydrogenase [NAD(+)].
9685.ENSFCAP00000007472,LGR5,907,Leucine rich repeat containing G protein-coupled receptor 5.
9685.ENSFCAP00000007478,XPNPEP2,675,X-prolyl aminopeptidase 2; Belongs to the peptidase M24B family.
9685.ENSFCAP00000007479,TMPRSS2,492,Transmembrane serine protease 2; Belongs to the peptidase S1 family.
9685.ENSFCAP00000007483,SLC16A2,623,Solute carrier family 16 member 2.
9685.ENSFCAP00000007487,CECR2,1527,CECR2 histone acetyl-lysine reader.
9685.ENSFCAP00000007490,OSMR,961,Oncostatin M receptor.
9685.ENSFCAP00000007492,FYB1,837,FYN binding protein 1.
9685.ENSFCAP00000007493,MERTK,994,MER proto-oncogene, tyrosine kinase.
9685.ENSFCAP00000007495,FBLN7,616,Fibulin 7.
9685.ENSFCAP00000007496,ZC3H8,311,Zinc finger CCCH-type containing 8.
9685.ENSFCAP00000007497,ZC3H6,1169,Zinc finger CCCH-type containing 6.
9685.ENSFCAP00000007498,TTL,377,Tubulin tyrosine ligase.
9685.ENSFCAP00000007501,SLC20A1,646,Sodium-dependent phosphate transporter 1; Sodium-phosphate symporter which plays a fundamental housekeeping role in phosphate transport, such as absorbing phosphate from interstitial fluid for normal cellular functions such as cellular metabolism, signal transduction, and nucleic acid and lipid synthesis. May play a role in extracellular matrix and cartilage calcification as well as in vascular calcification.
9685.ENSFCAP00000007503,IL1A,270,Interleukin-1 alpha; Produced by activated macrophages, IL-1 stimulates thymocyte proliferation by inducing IL-2 release, B-cell maturation and proliferation, and fibroblast growth factor activity. IL-1 proteins are involved in the inflammatory response, being identified as endogenous pyrogens, and are reported to stimulate the release of prostaglandin and collagenase from synovial cells (By similarity).
9685.ENSFCAP00000007506,EIF5A2,153,Eukaryotic translation initiation factor 5A.
9685.ENSFCAP00000007507,GEMIN6,166,Gem nuclear organelle associated protein 6.
9685.ENSFCAP00000007510,GALNTL6,601,Polypeptide N-acetylgalactosaminyltransferase.
9685.ENSFCAP00000007512,CLDND2,166,Claudin domain containing 2.
9685.ENSFCAP00000007515,ACSM1,654,Acyl-CoA synthetase medium chain family member 1.
9685.ENSFCAP00000007530,ARHGEF1,1069,Rho guanine nucleotide exchange factor 1.
9685.ENSFCAP00000007531,CD79A,236,CD79a molecule.
9685.ENSFCAP00000007538,HEATR4,1016,HEAT repeat containing 4.
9685.ENSFCAP00000007542,ZNF804B,1349,Zinc finger protein 804B.
9685.ENSFCAP00000007543,SEMA7A,769,Semaphorin 7A; Belongs to the semaphorin family.
9685.ENSFCAP00000007547,F5,2107,Coagulation factor V; Belongs to the multicopper oxidase family.
9685.ENSFCAP00000007552,CF1H1orf112,912,Chromosome F1 C1orf112 homolog.
